surgery age temperature pulse respiratory_rate temperature_of_extremities peripheral_pulse pain peristalsis abdominal_distension packed_cell_volume total_protein outcome surgical_lesion
1 adult 37.2 100 30 cool reduced continuous absent severe 52 6.6 lived 1
0 adult 37.1 104 24 cold reduced severe absent moderate 73 8.4 euthanized 1
0 adult 38.6 52 17 normal normal mild hypomotile slight 32 6.6 lived 0
0 adult 38 60 12 cool normal mild hypomotile none 47 7 lived 0
1 adult 35.4 140 24 cool reduced severe absent moderate 57 69 euthanized 1
1 adult 37.9 60 15 cool absent continuous absent severe 65 7.5 lived 1
0 adult 37.5 48 16 normal normal alert hypermotile none 37 6.5 lived 0
1 adult 38.9 80 44 cool reduced depressed hypomotile moderate 54 6.5 died 1
0 adult 37.2 84 48 cool reduced severe hypermotile slight 73 5.5 died 0
0 adult 38.6 46 6 normal normal alert hypomotile slight 49 9.1 lived 0
0 adult 40.3 114 36 cool reduced depressed hypomotile moderate 57 8.1 euthanized 1
0 adult 37.8 48 32 normal normal depressed hypermotile none 37 6.7 lived 0
0 adult 38.5 60 45 warm increased alert normal slight 44 7.7 lived 0
0 adult 38.2 130 16 cold reduced depressed absent severe 65 82 euthanized 0
1 adult 39 64 36 cool normal mild hypomotile slight 44 7.5 lived 1
1 adult 37.7 60 36 cool normal mild hypomotile slight 26 72 lived 1
0 adult 37.9 72 10 normal normal mild hypomotile none 58 74 lived 1
0 adult 38.4 54 24 normal normal alert hypomotile none 49 7.2 lived 0
0 adult 38 48 12 normal normal alert hypomotile none 42 6.3 lived 0
1 adult 37.8 48 28 normal normal alert normal none 46 5.9 lived 0
1 adult 38.1 52 24 normal normal severe hypomotile none 54 7.5 died 1
1 adult 37.6 38 20 cool reduced mild hypomotile slight 37 68 lived 1
0 adult 38.7 52 20 warm normal alert hypermotile none 33 77 lived 0
1 adult 37.5 96 18 normal reduced mild absent slight 69 8.9 lived 1
1 adult 36.4 98 35 cool reduced severe hypomotile slight 47 6.4 died 1
1 young 38.1 100 80 cool normal mild absent none 36 5.7 lived 1
1 adult 37.8 60 80 normal reduced depressed hypomotile moderate 40 4.5 lived 1
0 adult 38 54 30 warm reduced mild hypermotile slight 45 6.2 lived 0
1 adult 37.4 88 40 cool reduced continuous absent moderate 50 7.7 died 1
0 adult 39 64 40 normal normal mild hypomotile slight 42 7.5 lived 0
0 adult 38.3 42 10 normal normal alert hypermotile none 38 61 lived 0
0 adult 40.3 114 36 cool reduced depressed hypomotile moderate 57 8.1 died 1
0 adult 38.8 50 20 cool normal alert hypermotile none 42 6.2 lived 0
0 adult 37.5 48 30 cold normal mild normal none 48 8.6 lived 0
1 adult 37.3 48 20 normal normal mild hypomotile moderate 41 69 lived 1
1 adult 38.1 88 32 cool reduced depressed hypomotile moderate 55 60 euthanized 0
0 adult 37.7 44 40 warm normal alert hypomotile slight 41 60 lived 0
0 adult 39.6 108 51 cool reduced depressed absent moderate 59 8 lived 0
1 adult 38.2 40 16 cool reduced alert hypomotile none 34 66 lived 0
1 young 38 140 68 normal normal mild hypomotile slight 39 5.3 lived 1
1 adult 37.8 52 24 normal reduced severe absent none 48 6.6 died 1
0 adult 37.3 50 32 normal normal alert hypomotile slight 44 7 lived 0
1 adult 38.7 60 32 cold reduced severe absent severe 53 64 euthanized 1
1 young 38.4 84 40 cool reduced mild hypomotile moderate 36 6.6 died 1
1 adult 38.9 70 16 cool absent depressed hypomotile slight 60 7.5 died 1
1 adult 38.3 40 16 cool absent alert hypomotile slight 38 58 lived 1
1 adult 38.4 44 24 cool absent continuous absent moderate 50 77 lived 1
1 adult 38 44 12 normal normal mild hypomotile moderate 42 65 lived 1
1 adult 36.5 78 30 normal normal continuous hypomotile none 34 75 lived 1
0 adult 38.1 56 20 warm normal alert hypomotile none 46 70 lived 0
1 adult 39.4 54 66 normal normal depressed hypomotile slight 39 6 lived 1
0 adult 38.7 40 28 warm normal mild hypermotile none 39 62 lived 0
1 adult 38.2 64 24 normal normal severe absent moderate 45 7.5 died 1
0 adult 37.6 48 20 cool normal alert hypermotile moderate 37 5.5 euthanized 1
1 adult 38 42 68 cold normal mild hypomotile slight 41 7.6 lived 1
1 adult 37.4 50 32 cool reduced severe absent none 45 7.9 lived 1
0 adult 37.6 88 36 cool normal mild hypomotile slight 44 6 died 1
0 adult 37.9 40 24 normal normal depressed hypomotile none 40 5.7 lived 1
1 young 38.1 136 48 cool reduced continuous hypermotile moderate 33 4.9 died 1
0 adult 38 56 57 normal increased alert hypermotile none 42 71 lived 0
0 adult 38 60 32 normal normal mild hypomotile slight 50 7 lived 0
1 adult 38.1 44 9 cool normal depressed normal none 31 7.3 lived 0
1 adult 37.8 48 28 normal normal alert normal none 46 5.9 lived 0
1 adult 37.1 84 40 cool reduced depressed absent severe 75 81 euthanized 0
0 adult 38.3 80 32 cool reduced depressed hypomotile moderate 50 80 lived 1
1 adult 38.2 48 36 normal reduced mild absent severe 42 71 lived 1
0 adult 38 44 12 warm normal mild absent moderate 33 6.5 died 1
0 adult 38.9 44 14 cool normal depressed hypomotile slight 33 64 lived 0
0 adult 38.6 48 20 cool normal alert hypomotile slight 50 7.3 lived 0
0 adult 38.8 48 40 normal normal mild hypomotile severe 41 65 lived 1
0 adult 38 48 20 cool reduced alert absent slight 49 8.3 lived 0
0 adult 38.6 52 20 normal normal mild hypomotile slight 36 6.6 lived 0
0 adult 39.5 60 10 cool normal mild hypomotile slight 38 56 lived 0
1 adult 38 66 20 normal reduced continuous hypomotile none 46 46 euthanized 1
1 adult 38.7 76 44 normal normal mild hypomotile slight 50 8 lived 1
1 adult 38.3 40 18 normal normal mild hypermotile none 43 5.9 lived 0
1 adult 38.4 104 40 normal normal depressed absent slight 55 8.5 lived 1
0 adult 37.5 44 20 normal normal alert hypermotile none 35 7.2 lived 0
0 adult 39 86 16 cool reduced mild hypomotile moderate 68 5.8 died 1
1 adult 38.5 129 48 cool reduced depressed absent moderate 57 66 lived 1
1 adult 38.2 60 30 normal normal mild hypomotile none 48 66 lived 1
1 adult 38.5 60 30 cool reduced continuous absent severe 45 70 lived 1
1 adult 38.4 84 30 cool normal severe hypomotile moderate 47 7.5 died 1
0 adult 37.8 56 16 normal normal depressed hypermotile none 44 68 lived 0
0 adult 38.2 68 32 warm increased alert hypermotile none 43 65 lived 0
1 adult 39.3 64 90 warm reduced depressed hypomotile none 39 6.7 lived 1
1 adult 38.4 80 30 cold reduced mild hypomotile moderate 32 6.1 lived 1
1 adult 38.3 60 16 cool normal depressed hypermotile none 30 6 lived 1
1 adult 37.1 40 8 normal normal mild hypomotile none 23 6.7 lived 1
0 young 37.9 100 44 warm normal severe hypermotile none 37 4.7 lived 0
1 adult 38.2 48 18 normal normal mild hypomotile moderate 48 74 lived 1
1 adult 37.5 60 48 cool reduced severe hypomotile severe 58 7.6 died 1
0 adult 37.9 88 24 normal normal depressed normal none 37 56 lived 0
0 adult 38 44 12 cool normal alert hypermotile slight 42 64 lived 0
0 adult 38.5 60 20 normal normal depressed normal none 63 7.5 euthanized 0
0 adult 38.5 96 36 cool reduced depressed absent slight 70 8.5 died 1
0 adult 38.3 60 20 normal normal alert hypomotile none 34 66 lived 0
0 adult 38.5 60 40 cool normal depressed hypermotile slight 49 59 lived 0
1 adult 37.3 48 12 normal normal mild hypermotile moderate 40 6.6 lived 1
1 adult 38.5 86 13 normal normal severe absent moderate 45 7.4 died 1
0 adult 37.2 36 9 normal normal depressed hypomotile none 35 5.7 lived 0
1 adult 39.2 90.9631210242537 23 cool normal severe absent slight 36 6.6 lived 1
1 adult 38.5 96 30 warm reduced severe absent moderate 50 65 lived 1
1 adult 37.8 88 80 cool reduced depressed hypomotile moderate 64 89 euthanized 1
0 adult 37.5 44 10 cool normal mild hypermotile slight 43 51 lived 0
1 adult 37.9 68 20 cool normal depressed absent slight 45 4 died 1
1 adult 38 86 24 cold reduced depressed absent severe 45 5.5 died 1
1 young 38.9 120 30 normal reduced mild hypomotile moderate 47 6.3 lived 0
1 adult 37.6 45 12 cool normal mild normal slight 39 7 lived 1
0 adult 38.6 56 32 warm normal alert hypermotile none 40 7 lived 0
1 adult 37.8 40 12 normal normal alert normal none 38 7 lived 1
1 adult 36.7 52 28 cool reduced mild absent moderate 37 8.1 lived 1
1 adult 38.5 92 40 cold reduced depressed absent moderate 46 67 lived 1
1 adult 39.7 112 13 cold absent depressed hypomotile none 60 6.3 lived 1
1 adult 37.7 66 12 normal normal mild hypomotile slight 32 6.2 lived 1
1 adult 38.8 50 14 normal normal mild hypermotile none 38 58 lived 1
0 adult 38.4 54 24 normal normal alert hypomotile none 49 7.2 lived 0
1 adult 39.2 120 20 cold reduced depressed hypomotile moderate 60 8.8 died 1
1 adult 37.3 90 40 cool reduced continuous absent moderate 65 50 euthanized 1
0 adult 39.5 92 28 cool reduced continuous absent none 72 6.4 died 0
1 adult 38.3 72 30 cold reduced mild hypomotile moderate 43 7 lived 1
0 adult 37.5 48 30 cold normal mild normal none 48 8.6 lived 0
1 adult 38.1 52 24 normal normal severe hypomotile none 54 7.5 died 1
0 adult 38.2 42 26 normal normal mild hypermotile slight 36 6.9 lived 0
0 adult 37.9 54 42 warm normal mild hypermotile none 47 54 lived 0
0 adult 36.1 88 15 cool reduced mild hypomotile slight 45 7 euthanized 1
1 adult 38 90 30 cold reduced continuous absent severe 55 6.1 died 1
1 adult 38.2 52 16 normal normal alert normal none 43 8.1 lived 0
1 adult 38.2 36 32 normal normal continuous hypomotile moderate 41 5.9 died 1
1 young 38.2 124 88 normal reduced depressed hypomotile severe 47 8 lived 1
1 adult 37.6 68 32 cool increased severe normal severe 47 7.2 lived 1
1 adult 38.1 88 24 cool reduced continuous absent moderate 41 4.6 died 1
1 adult 39.3 100 51 cold absent depressed absent none 66 13 euthanized 1
0 adult 36.6 42 18 cool reduced alert absent none 52 7.1 died 1
1 young 38.8 124 36 cool normal depressed hypomotile severe 50 7.6 died 1
0 adult 37.8 112 24 cool reduced continuous absent slight 40 5.3 lived 0
1 young 38.8 184 84 normal increased severe hypermotile moderate 33 3.3 died 1
1 adult 37.5 72 23 warm normal depressed hypermotile none 35 65 euthanized 1
0 adult 37.5 52 12 normal normal depressed hypomotile slight 36 61 lived 0
1 adult 40.8 72 42 cool reduced depressed hypomotile none 54 7.4 died 1
0 adult 38 40 25 normal normal severe hypomotile slight 37 69 lived 0
0 adult 38.4 48 16 warm normal alert hypomotile slight 39 6.5 lived 0
1 adult 38.3 44 21 cool normal mild hypomotile moderate 44 6.5 lived 1
0 adult 37.5 56 68 cool normal mild hypomotile none 40 6 euthanized 1
0 adult 38.6 68 20 warm normal mild hypomotile slight 38 6.5 lived 0
0 adult 38.3 54 18 cool normal depressed hypomotile slight 44 7.2 lived 0
1 adult 39.3 64 90 warm reduced depressed hypomotile none 39 6.7 lived 1
1 adult 37.5 60 50 cool reduced mild hypomotile slight 35 6.5 died 1
1 adult 37.7 80 33 cool reduced continuous absent none 50 55 lived 1
1 adult 38.2 100 30 cool reduced continuous absent severe 52 6.6 lived 1
1 adult 37.7 120 28 cool reduced continuous hypomotile moderate 65 7 died 1
1 young 38.8 150 50 normal reduced continuous hypomotile slight 50 6.2 died 1
1 adult 38 36 16 cool normal severe normal slight 37 75 euthanized 0
0 adult 36.9 50 40 warm reduced alert hypomotile slight 38 6.5 lived 0
0 adult 37.8 40 16 normal normal alert hypermotile none 37 6.8 lived 0
0 adult 38.2 56 40 cold reduced depressed absent moderate 47 7.2 lived 0
0 adult 40 78 54 cool reduced depressed hypomotile none 66 6.5 died 1
1 adult 39 70 16 cool absent depressed hypomotile slight 60 7.5 died 1
0 adult 38.5 54 2 normal normal mild hypermotile none 40 6.8 lived 0
1 adult 38.5 66 24 normal normal mild hypomotile none 40 6.7 lived 1
0 adult 37.8 82 12 cool normal severe absent moderate 50 7 euthanized 1
1 adult 38 50 36 normal normal mild normal slight 39 6.6 lived 1
0 adult 38.6 45 16 warm normal alert hypermotile none 43 58 lived 0
1 adult 38.9 80 44 cool reduced depressed hypomotile moderate 54 6.5 died 1
1 adult 37 66 20 normal reduced severe hypomotile moderate 35 6.9 died 1
0 adult 38.5 40 16 normal normal depressed hypermotile none 37 67 lived 0
0 adult 37.2 72 24 cool increased severe hypomotile moderate 44 74 euthanized 1
1 adult 37.5 72 30 cold reduced severe absent moderate 60 6.8 died 1
1 adult 36.5 100 24 cool reduced mild hypomotile moderate 50 6 lived 1
0 adult 38.5 54 20 normal normal mild absent none 42 6.3 lived 0
1 adult 37.7 44 28 cool absent continuous absent severe 45 70 lived 1
1 adult 37 56 24 cool normal severe absent moderate 35 61 euthanized 0
0 adult 38.4 80 60 cool increased mild normal none 54 6.9 lived 0
0 adult 37.8 48 12 warm normal mild hypermotile none 48 7.3 lived 0
0 adult 37.9 45 36 cool reduced depressed hypomotile none 33 5.7 lived 1
0 adult 39 84 12 cool normal depressed absent slight 62 5.9 died 1
0 adult 38.2 60 24 cool normal mild hypomotile slight 53 7.5 lived 0
1 adult 37.9 120 60 cool reduced continuous absent severe 52 6.6 died 1
0 adult 38 72 36 normal normal mild hypomotile slight 38 6.8 lived 0
0 young 38 92 28 normal normal alert hypomotile slight 37 6.1 lived 0
1 adult 38.3 66 30 warm reduced depressed absent moderate 37 6 lived 1
0 adult 37.5 48 24 cool normal depressed hypermotile none 43 6 lived 0
1 adult 37.5 88 20 warm reduced severe hypomotile moderate 35 6.4 died 1
1 adult 38.3 80 44 cool reduced continuous absent moderate 45 7.5 lived 1
0 adult 37.5 40 32 cool normal mild normal moderate 32 6.4 lived 1
1 adult 38.4 84 30 cool normal severe hypomotile moderate 47 7.5 died 1
1 adult 38.1 84 44 cold absent continuous hypomotile none 60 6.8 died 1
0 adult 38.7 52 10 normal normal alert hypomotile none 4 74 lived 0
0 adult 38.1 44 40 warm normal mild hypomotile none 35 6.8 lived 0
0 adult 38.4 52 20 warm normal alert hypomotile slight 41 63 lived 0
0 adult 37.7 40 18 normal normal mild normal none 36 3.5 lived 0
0 adult 37.8 48 16 normal normal alert hypermotile none 43 7.5 lived 0
1 adult 39 120 42 cold reduced depressed absent moderate 65 8.2 lived 0
1 adult 38.2 76 36 warm reduced continuous hypomotile moderate 35 6.5 lived 1
0 adult 37.5 44 61 normal normal mild hypomotile slight 45 5.8 lived 0
0 adult 38.2 42 16 normal normal alert hypomotile none 35 60 lived 0
0 adult 38 56 44 cool reduced depressed hypermotile none 47 70 lived 0
0 adult 36 100 20 cold reduced depressed absent moderate 74 5.7 euthanized 1
1 adult 38.1 72 30 cool reduced severe absent moderate 37 56 lived 1
1 adult 37 44 12 cool normal alert hypermotile none 40 6.7 lived 1
1 adult 38.6 48 20 cool normal severe hypomotile none 37 75 lived 1
1 adult 38.9 82 72 cool normal depressed hypomotile moderate 53 65 euthanized 1
1 young 38.2 78 60 cold absent mild hypomotile moderate 59 5.8 died 1
0 adult 37.8 60 16 normal normal depressed hypomotile slight 41 73 euthanized 0
0 adult 37.4 54 18 cool reduced mild absent moderate 30 7.1 lived 1
1 adult 36.6 48 16 cool normal severe hypermotile none 27 56 euthanized 1
1 adult 38.5 90 37 normal normal mild hypomotile moderate 47 79 lived 1
1 adult 38.8 75 12 normal normal continuous hypomotile moderate 58 8.5 lived 1
0 adult 38.2 42 31 cool normal alert hypermotile slight 35 5.9 lived 0
1 young 38.2 78 60 cold absent mild hypomotile moderate 59 5.8 died 1
0 adult 38.6 60 30 normal normal severe normal slight 40 6 lived 1
0 adult 37.8 42 40 normal normal alert hypomotile none 36 6.2 lived 0
1 adult 38 60 12 normal normal depressed hypermotile none 44 65 euthanized 1
0 adult 38 42 12 cool normal alert hypermotile none 37 5.8 lived 0
0 adult 37.6 88 36 cool normal mild hypomotile slight 44 6 died 1
